"ID";"Purpose";"Regions";"Periods";"InitialStock_1"
"11399";"T001419";"GM0106";"2015JJ00";"35207"
"11400";"T001419";"GM0106";"2016JJ00";"35146"
"11497";"T001419";"GM0106";"2017JJ00";"35536"
"11514";"T001419";"GM0106";"2018JJ00";"35862"
"11531";"T001419";"GM0106";"2019JJ00";"35980"
"11543";"T001419";"GM0106";"2020KW03";"36776"
"12287";"T001419";"GM0005";"2015JJ00";"5037"
"12288";"T001419";"GM0005";"2016JJ00";"5076"
"12385";"T001419";"GM0005";"2017JJ00";"5073"
"12402";"T001419";"GM0005";"2018JJ00";"5129"
"12419";"T001419";"GM0005";"2019JJ00";
"12431";"T001419";"GM0005";"2020KW03";
"20131";"T001419";"GM0010";"2015JJ00";"14125"
"20132";"T001419";"GM0010";"2016JJ00";"14199"
"20229";"T001419";"GM0010";"2017JJ00";"14181"
"20246";"T001419";"GM0010";"2018JJ00";"14196"
"20263";"T001419";"GM0010";"2019JJ00";"14080"
"20275";"T001419";"GM0010";"2020KW03";"14178"
"23831";"T001419";"GM0114";"2015JJ00";"55566"
"23832";"T001419";"GM0114";"2016JJ00";"56094"
"23929";"T001419";"GM0114";"2017JJ00";"56252"
"23946";"T001419";"GM0114";"2018JJ00";"56405"
"23963";"T001419";"GM0114";"2019JJ00";"56692"
"23975";"T001419";"GM0114";"2020KW03";"56844"
"30047";"T001419";"GM0017";"2015JJ00";"9831"
"30048";"T001419";"GM0017";"2016JJ00";"9832"
"30145";"T001419";"GM0017";"2017JJ00";"9967"
"30162";"T001419";"GM0017";"2018JJ00";"10162"
"30179";"T001419";"GM0017";"2019JJ00";
"30191";"T001419";"GM0017";"2020KW03";
"33895";"T001419";"GM1966";"2015JJ00";
"33896";"T001419";"GM1966";"2016JJ00";
"33993";"T001419";"GM1966";"2017JJ00";
"34010";"T001419";"GM1966";"2018JJ00";
"34027";"T001419";"GM1966";"2019JJ00";"25267"
"34039";"T001419";"GM1966";"2020KW03";"25486"
"34191";"T001419";"GM0118";"2015JJ00";"27913"
"34192";"T001419";"GM0118";"2016JJ00";"28152"
"34289";"T001419";"GM0118";"2017JJ00";"28361"
"34306";"T001419";"GM0118";"2018JJ00";"28595"
"34323";"T001419";"GM0118";"2019JJ00";"28919"
"34335";"T001419";"GM0118";"2020KW03";"29138"
"37891";"T001419";"GM0022";"2015JJ00";"9430"
"37892";"T001419";"GM0022";"2016JJ00";"9512"
"37989";"T001419";"GM0022";"2017JJ00";"9599"
"38006";"T001419";"GM0022";"2018JJ00";"9633"
"38023";"T001419";"GM0022";"2019JJ00";
"38035";"T001419";"GM0022";"2020KW03";
"42775";"T001419";"GM0119";"2015JJ00";"17097"
"42776";"T001419";"GM0119";"2016JJ00";"17317"
"42873";"T001419";"GM0119";"2017JJ00";"17556"
"42890";"T001419";"GM0119";"2018JJ00";"17765"
"42907";"T001419";"GM0119";"2019JJ00";"17867"
"42919";"T001419";"GM0119";"2020KW03";"18131"
"61127";"T001419";"GM1730";"2015JJ00";"16473"
"61128";"T001419";"GM1730";"2016JJ00";"16701"
"61225";"T001419";"GM1730";"2017JJ00";"16999"
"61242";"T001419";"GM1730";"2018JJ00";"17110"
"61259";"T001419";"GM1730";"2019JJ00";"17303"
"61271";"T001419";"GM1730";"2020KW03";"17454"
